,Date,AAPL,Euros,Price100,Valuation
0,2010-12-30,11.559286,9.8253931,1155.9286,True
1,2010-12-31,11.52,9.792,1152.0,True
2,2011-01-03,11.770357,10.00480345,1177.0357000000001,True
3,2011-01-04,11.831786,10.057018099999999,1183.1786,True
4,2011-01-05,11.928572,10.1392862,1192.8572000000001,True
5,2011-01-06,11.918928,10.131088799999999,1191.8927999999999,True
6,2011-01-07,12.004286,10.2036431,1200.4286,True
7,2011-01-10,12.230357,10.395803449999999,1223.0357,True
8,2011-01-11,12.201428,10.3712138,1220.1428,True
9,2011-01-12,12.300714,10.4556069,1230.0713999999998,True
10,2011-01-13,12.345715,10.49385775,1234.5715,True
11,2011-01-14,12.445714,10.5788569,1244.5714,True
12,2011-01-18,12.166072,10.3411612,1216.6072,True
13,2011-01-19,12.101429,10.28621465,1210.1429,True
14,2011-01-20,11.881429,10.09921465,1188.1429,True
15,2011-01-21,11.668571,9.91828535,1166.8571,True
16,2011-01-24,12.051785,10.24401725,1205.1785,True
17,2011-01-25,12.192857,10.36392845,1219.2857,True
18,2011-01-26,12.280357,10.43830345,1228.0357000000001,True
19,2011-01-27,12.2575,10.418875,1225.75,True
20,2011-01-28,12.003572,10.2030362,1200.3572,True
21,2011-01-31,12.118571,10.30078535,1211.8571,True
22,2011-02-01,12.3225,10.474124999999999,1232.25,True
23,2011-02-02,12.297143,10.45257155,1229.7143,True
24,2011-02-03,12.265715,10.42585775,1226.5715,True
25,2011-02-04,12.375,10.518749999999999,1237.5,True
26,2011-02-07,12.567142,10.6820707,1256.7142000000001,True
27,2011-02-08,12.685715,10.78285775,1268.5715,True
28,2011-02-09,12.791429,10.87271465,1279.1429,True
29,2011-02-10,12.662143,10.76282155,1266.2143,True
30,2011-02-11,12.744643,10.832946549999999,1274.4643,True
31,2011-02-14,12.827857,10.90367845,1282.7857,True
32,2011-02-15,12.853572,10.9255362,1285.3572,True
33,2011-02-16,12.968928,11.023588799999999,1296.8928,True
34,2011-02-17,12.796429,10.87696465,1279.6429,True
35,2011-02-18,12.52,10.642,1252.0,True
36,2011-02-22,12.093214,10.2792319,1209.3214,True
37,2011-02-23,12.236428,10.4009638,1223.6428,True
38,2011-02-24,12.245714,10.4088569,1224.5714,True
39,2011-02-25,12.434286,10.5691431,1243.4286,True
40,2011-02-28,12.614643,10.722446549999999,1261.4642999999999,True
41,2011-03-01,12.475357,10.60405345,1247.5357000000001,True
42,2011-03-02,12.575714,10.6893569,1257.5714,True
43,2011-03-03,12.841429,10.91521465,1284.1429,True
44,2011-03-04,12.857142,10.9285707,1285.7142,True
45,2011-03-07,12.691428,10.7877138,1269.1428,True
46,2011-03-08,12.705714,10.7998569,1270.5714,True
47,2011-03-09,12.588214,10.699981900000001,1258.8214,True
48,2011-03-10,12.381071,10.52391035,1238.1071,True
49,2011-03-11,12.571072,10.685411199999999,1257.1072,True
50,2011-03-14,12.627143,10.73307155,1262.7143,True
51,2011-03-15,12.336785,10.486267250000001,1233.6785,True
52,2011-03-16,11.786072,10.0181612,1178.6072000000001,True
53,2011-03-17,11.951428,10.1587138,1195.1428,True
54,2011-03-18,11.809643,10.038196549999999,1180.9642999999999,True
55,2011-03-21,12.117857,10.30017845,1211.7857000000001,True
56,2011-03-22,12.185715,10.357857749999999,1218.5715,True
57,2011-03-23,12.113929,10.29683965,1211.3929,True
58,2011-03-24,12.320357,10.47230345,1232.0357,True
59,2011-03-25,12.555,10.67175,1255.5,True
60,2011-03-28,12.515715,10.638357749999999,1251.5715,True
61,2011-03-29,12.534286,10.654143099999999,1253.4286,True
62,2011-03-30,12.451072,10.5834112,1245.1072,True
63,2011-03-31,12.446786,10.579768099999999,1244.6786,True
64,2011-04-01,12.305715,10.45985775,1230.5715,True
65,2011-04-04,12.185357,10.35755345,1218.5357,True
66,2011-04-05,12.103214,10.287731899999999,1210.3214,True
67,2011-04-06,12.072857,10.261928450000001,1207.2857000000001,True
